iter	Passed	Remaining
455	951	1135
456	954	1133
457	956	1131
458	958	1130
459	961	1128
460	963	1126
461	967	1126
462	971	1126
463	973	1124
464	976	1123
465	978	1121
466	983	1122
467	986	1120
468	989	1120
469	991	1118
470	993	1116
471	997	1115
472	999	1113
473	1003	1113
474	1006	1112
475	1009	1110
476	1014	1112
477	1017	1110
478	1019	1108
479	1021	1106
480	1023	1104
481	1027	1104
482	1030	1102
483	1032	1100
484	1034	1097
485	1036	1095
486	1037	1093
487	1040	1092
488	1044	1091
489	1047	1090
490	1051	1090
491	1054	1088
492	1058	1088
493	1060	1085
494	1062	1083
495	1063	1081
496	1065	1078
497	1068	1076
498	1070	1074
499	1073	1073
500	1075	1071
501	1077	1069
502	1079	1066
503	1081	1064
504	1083	1062
505	1085	1059
506	1089	1059
507	1091	1056
508	1093	1054
509	1095	1052
510	1097	1050
511	1099	1048
512	1102	1046
513	1104	1044
514	1106	1042
515	1109	1040
516	1111	1038
517	1113	1036
518	1115	1034
519	1119	1033
520	1122	1031
521	1125	1030
522	1127	1028
523	1129	1025
524	1131	1023
525	1134	1022
526	1136	1019
527	1138	1017
528	1140	1015
529	1141	1012
530	1143	1010
531	1145	1008
532	1150	1007
533	1152	1005
534	1154	1003
535	1156	1001
536	1158	998
537	1160	996
538	1163	994
539	1164	992
540	1166	989
541	1168	987
542	1170	985
543	1172	982
544	1174	980
545	1176	977
546	1180	977
547	1182	974
548	1183	972
549	1185	970
550	1187	967
551	1189	965
552	1191	962
553	1194	962
554	1197	959
555	1198	957
556	1200	954
557	1202	952
558	1204	950
559	1205	947
560	1208	945
561	1210	943
562	1212	941
563	1214	938
564	1216	936
565	1218	934
566	1220	932
567	1223	930
568	1226	928
569	1227	926
570	1229	923
571	1231	921
572	1234	919
573	1236	917
574	1238	915
575	1241	913
576	1243	911
577	1244	908
578	1246	906
579	1248	904
580	1250	902
581	1254	901
582	1256	898
583	1257	896
584	1259	893
585	1261	891
586	1263	888
587	1265	886
588	1266	883
589	1269	882
590	1271	879
591	1273	877
592	1274	874
593	1276	872
594	1278	870
595	1280	867
596	1282	865
597	1284	863
598	1286	861
599	1288	858
600	1290	856
601	1292	854
602	1294	851
603	1296	849
604	1299	848
605	1301	846
606	1303	843
607	1304	841
608	1306	839
609	1308	836
610	1310	834
611	1312	832
612	1315	830
613	1317	828
614	1319	825
615	1321	823
616	1322	821
617	1324	818
618	1326	816
619	1330	815
620	1332	813
621	1334	811
622	1336	808
623	1338	806
624	1340	804
625	1342	801
626	1344	800
627	1346	797
628	1348	795
629	1350	793
630	1352	791
631	1354	788
632	1356	786
633	1359	784
634	1360	782
635	1362	779
636	1364	777
637	1366	775
638	1368	772
639	1370	770
640	1373	768
641	1375	766
642	1377	764
643	1378	762
644	1380	759
645	1382	757
646	1384	755
647	1386	753
648	1390	751
649	1392	749
650	1393	747
651	1395	744
652	1397	742
653	1399	740
654	1401	737
655	1404	736
656	1405	734
657	1407	731
658	1409	729
659	1411	727
660	1413	724
661	1415	722
662	1417	720
663	1420	718
664	1421	716
665	1423	714
666	1425	711
667	1427	709
668	1429	707
669	1431	704
670	1434	703
671	1436	701
672	1438	698
673	1440	696
674	1442	694
675	1444	692
676	1445	689
677	1449	688
678	1451	686
679	1453	683
680	1455	681
681	1457	679
682	1459	677
683	1461	675
684	1464	673
685	1466	671
686	1468	669
687	1470	666
688	1472	664
689	1474	662
690	1476	660
691	1479	658
692	1481	656
693	1483	653
694	1484	651
695	1486	649
696	1488	647
697	1490	644
698	1493	643
699	1495	640
700	1497	638
701	1499	636
702	1500	634
703	1502	631
704	1504	629
705	1505	627
706	1508	625
707	1510	623
708	1512	620
709	1514	618
710	1516	616
711	1517	613
712	1519	611
713	1521	609
714	1523	607
715	1525	605
716	1527	602
717	1529	600
718	1530	598
719	1532	595
720	1534	593
721	1536	591
722	1539	589
723	1541	587
724	1543	585
725	1544	583
726	1546	580
727	1548	578
728	1550	576
729	1552	574
730	1554	572
731	1556	569
732	1558	567
733	1559	565
734	1561	563
735	1563	560
736	1564	558
737	1567	556
738	1568	554
739	1570	551
740	1572	549
741	1573	547
742	1575	544
743	1577	542
744	1578	540
745	1580	538
746	1583	536
747	1584	533
748	1586	531
749	1589	529
750	1590	527
751	1592	525
752	1594	522
753	1597	521
754	1599	519
755	1601	516
756	1603	514
757	1606	512
758	1607	510
759	1609	508
760	1612	506
761	1614	504
762	1616	502
763	1618	500
764	1621	498
765	1623	495
766	1624	493
767	1627	491
768	1629	489
769	1631	487
770	1633	485
771	1634	482
772	1636	480
773	1638	478
774	1640	476
775	1643	474
776	1644	472
777	1647	470
778	1650	468
779	1652	466
780	1654	463
781	1657	462
782	1660	460
783	1662	457
784	1663	455
785	1665	453
786	1667	451
787	1669	449
788	1671	447
789	1673	444
790	1675	442
791	1678	440
792	1680	438
793	1682	436
794	1683	434
795	1685	432
796	1687	429
797	1689	427
798	1691	425
799	1692	423
800	1694	421
801	1696	418
802	1698	416
803	1700	414
804	1702	412
805	1704	410
806	1705	407
807	1707	405
808	1709	403
809	1710	401
810	1712	399
811	1714	396
812	1716	394
813	1718	392
814	1720	390
815	1721	388
816	1723	386
817	1725	383
818	1726	381
819	1729	379
820	1731	377
821	1733	375
822	1735	373
823	1736	370
824	1738	368
825	1740	366
826	1743	364
827	1745	362
828	1747	360
829	1748	358
830	1750	356
831	1752	353
832	1754	351
833	1755	349
834	1757	347
835	1759	345
836	1760	342
837	1762	340
838	1764	338
839	1765	336
840	1767	334
841	1769	331
842	1770	329
843	1772	327
844	1774	325
845	1775	323
846	1777	321
847	1779	318
848	1780	316
849	1782	314
850	1784	312
851	1785	310
852	1787	308
853	1789	305
854	1790	303
855	1792	301
856	1794	299
857	1796	297
858	1798	295
859	1800	293
860	1802	290
861	1804	288
862	1806	286
863	1807	284
864	1809	282
865	1810	280
866	1812	278
867	1814	275
868	1816	273
869	1818	271
870	1820	269
871	1821	267
872	1823	265
873	1825	263
874	1827	261
875	1829	258
876	1831	256
877	1833	254
878	1834	252
879	1836	250
880	1838	248
881	1839	246
882	1841	244
883	1843	241
884	1845	239
885	1846	237
886	1848	235
887	1850	233
888	1852	231
889	1854	229
890	1856	227
891	1857	224
892	1859	222
893	1861	220
894	1863	218
895	1865	216
896	1867	214
897	1869	212
898	1871	210
899	1872	208
900	1874	205
901	1876	203
902	1878	201
903	1879	199
904	1881	197
905	1883	195
906	1884	193
907	1886	191
908	1888	189
909	1890	186
910	1892	184
911	1893	182
912	1895	180
913	1897	178
914	1898	176
915	1900	174
916	1902	172
917	1903	170
918	1905	167
919	1907	165
920	1909	163
921	1911	161
922	1913	159
923	1914	157
924	1916	155
925	1918	153
926	1920	151
927	1922	149
928	1925	147
929	1927	145
930	1929	142
931	1931	140
932	1932	138
933	1934	136
934	1936	134
935	1939	132
936	1941	130
937	1943	128
938	1945	126
939	1947	124
940	1949	122
941	1951	120
942	1953	118
943	1955	115
944	1956	113
945	1958	111
946	1960	109
947	1962	107
948	1964	105
949	1966	103
950	1968	101
951	1970	99
952	1972	97
953	1974	95
954	1975	93
955	1977	91
956	1979	88
957	1981	86
958	1983	84
959	1985	82
960	1987	80
961	1989	78
962	1991	76
963	1992	74
964	1994	72
965	1996	70
966	1998	68
967	2000	66
968	2002	64
969	2004	62
970	2006	59
971	2009	57
972	2010	55
973	2012	53
974	2014	51
975	2016	49
976	2018	47
977	2020	45
978	2022	43
979	2024	41
980	2026	39
981	2028	37
982	2030	35
983	2031	33
984	2033	30
985	2035	28
986	2037	26
987	2039	24
988	2041	22
989	2043	20
990	2045	18
991	2047	16
992	2048	14
993	2050	12
994	2052	10
995	2054	8
996	2056	6
997	2058	4
998	2061	2
999	2063	0
